               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081234,            0.032253,            0.023907,           0.0036967,                   1,             0.27456,            0.072395,            0.034889,            0.014371,            0.017731,              0.0856,              0.0016,              0.0016
                   1,            0.063906,             0.03115,            0.020675,              0.2453,             0.33289,             0.35519,             0.17402,            0.029752,            0.011754,             0.01398,            0.070293,           0.0032935,           0.0032935
                   2,            0.051288,            0.025069,            0.018117,             0.24384,             0.39931,             0.31637,             0.13826,            0.051928,           0.0080471,            0.011731,             0.05498,           0.0049802,           0.0049802
                   3,            0.045249,             0.02066,            0.016196,              0.3112,             0.65972,             0.38175,             0.17153,            0.027351,           0.0057838,             0.01178,             0.03966,           0.0066602,           0.0066602
                   4,             0.04653,            0.018675,            0.020524,             0.17916,             0.73264,             0.28978,             0.13726,            0.051526,           0.0050263,            0.014423,            0.024333,           0.0083335,           0.0083335
                   5,            0.049802,            0.016818,            0.018273,             0.26036,             0.40788,              0.3035,             0.11876,            0.041388,           0.0042224,            0.012073,            0.009901,            0.009901,            0.009901
                   6,            0.050393,             0.01637,            0.020168,             0.32948,             0.56597,             0.39021,             0.17595,            0.032373,           0.0049677,            0.011487,            0.009901,            0.009901,            0.009901
                   7,            0.044199,            0.014752,            0.018616,             0.26454,             0.62847,             0.39998,              0.2109,            0.030456,           0.0046225,            0.011975,           0.0098812,           0.0098812,           0.0098812
                   8,            0.038764,            0.015477,            0.016033,             0.36733,             0.75373,             0.51761,             0.23874,            0.029205,           0.0041518,            0.011505,           0.0098614,           0.0098614,           0.0098614
                   9,            0.039885,            0.013493,            0.019363,             0.27214,             0.68403,             0.36324,             0.20082,            0.041126,            0.004123,            0.011908,           0.0098416,           0.0098416,           0.0098416
                  10,             0.03591,             0.01342,             0.01667,             0.31731,             0.88889,             0.45546,             0.24383,            0.027934,           0.0039768,            0.011191,           0.0098218,           0.0098218,           0.0098218
                  11,            0.039762,            0.013824,            0.019027,             0.45568,             0.94444,             0.56926,             0.34663,             0.01803,             0.00336,            0.012183,            0.009802,            0.009802,            0.009802
                  12,            0.034833,            0.013968,            0.015568,             0.45853,             0.93971,             0.54041,             0.36586,            0.020479,           0.0033766,            0.011545,           0.0097822,           0.0097822,           0.0097822
                  13,            0.034388,            0.013669,            0.018672,             0.40784,             0.88889,             0.54053,             0.37095,            0.023684,           0.0040655,            0.011954,           0.0097624,           0.0097624,           0.0097624
                  14,            0.030972,            0.014308,            0.019351,              0.4686,             0.88889,             0.59289,             0.37216,            0.024922,           0.0043585,            0.010873,           0.0097426,           0.0097426,           0.0097426
                  15,            0.038023,            0.013437,            0.016991,             0.48641,                   1,             0.65892,             0.41993,            0.024723,           0.0035927,            0.010037,           0.0097228,           0.0097228,           0.0097228
