               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075329,            0.024487,            0.020624,             0.26228,             0.25756,             0.17782,            0.057486,            0.062265,           0.0082483,            0.012003,            0.070312,           0.0032986,           0.0032986
                   1,            0.050214,            0.016545,            0.015216,             0.18752,              0.5294,             0.27047,             0.10984,            0.052858,           0.0065736,            0.011303,            0.040294,           0.0066132,           0.0066132
                   2,            0.045789,            0.014258,            0.014645,             0.25984,             0.70943,             0.36972,              0.1967,            0.037233,           0.0056641,            0.011217,            0.010256,           0.0099089,           0.0099089
                   3,            0.042182,            0.013204,            0.013702,             0.24266,             0.44167,             0.34328,             0.16903,            0.043003,           0.0058947,            0.011077,           0.0099151,           0.0099151,           0.0099151
                   4,            0.038683,            0.013158,            0.012612,             0.31062,               0.425,             0.34683,             0.17733,            0.038382,           0.0063825,            0.010686,           0.0099151,           0.0099151,           0.0099151
                   5,            0.036602,             0.01267,            0.014061,             0.24461,              0.4125,             0.38697,             0.20406,            0.036289,           0.0053269,            0.011996,           0.0098869,           0.0098869,           0.0098869
                   6,            0.034251,            0.012862,            0.013419,              0.4181,             0.53649,             0.48782,             0.29304,            0.029031,           0.0049954,            0.010657,           0.0098586,           0.0098586,           0.0098586
                   7,            0.033094,            0.012214,            0.013419,             0.46333,             0.48627,              0.4173,             0.21383,            0.034967,           0.0055538,            0.010695,           0.0098303,           0.0098303,           0.0098303
                   8,            0.032799,            0.011809,            0.013524,             0.33451,             0.54583,             0.45403,             0.26506,            0.033844,           0.0054553,             0.01115,            0.009802,            0.009802,            0.009802
                   9,            0.031952,             0.01178,            0.013811,             0.37064,             0.53333,             0.46037,             0.28941,            0.029957,           0.0050503,             0.01087,           0.0097737,           0.0097737,           0.0097737
                  10,            0.032197,            0.011648,            0.012713,             0.16095,             0.35833,             0.16931,            0.092108,            0.053222,            0.007232,            0.010967,           0.0097454,           0.0097454,           0.0097454
                  11,            0.032039,             0.01126,            0.012109,              0.4263,             0.50833,             0.47701,             0.28818,            0.029901,           0.0051627,             0.01034,           0.0097171,           0.0097171,           0.0097171
                  12,            0.030231,            0.011509,            0.013157,             0.51182,             0.62201,             0.58283,             0.37266,            0.030556,           0.0044757,            0.010175,           0.0096889,           0.0096889,           0.0096889
                  13,            0.030884,            0.011458,            0.012482,             0.48516,             0.53333,             0.51809,             0.31552,            0.030804,           0.0045423,           0.0099135,           0.0096606,           0.0096606,           0.0096606
                  14,            0.029552,            0.011225,            0.012786,             0.29747,              0.3875,             0.37258,             0.21795,            0.037732,           0.0059574,            0.011729,           0.0096323,           0.0096323,           0.0096323
                  15,            0.029189,            0.011207,            0.012211,             0.43855,             0.39167,             0.38789,             0.19908,            0.038855,           0.0064514,             0.01175,            0.009604,            0.009604,            0.009604
                  16,            0.029567,            0.010982,            0.011419,              0.4414,                0.55,             0.47681,             0.26297,             0.03157,           0.0049929,            0.010587,           0.0095757,           0.0095757,           0.0095757
                  17,            0.029763,            0.011051,            0.012952,             0.31335,             0.38333,             0.34157,             0.17897,            0.041529,           0.0067431,            0.012227,           0.0095474,           0.0095474,           0.0095474
                  18,            0.028328,            0.010885,            0.013148,             0.43554,               0.475,             0.43424,             0.25338,            0.033457,           0.0059887,            0.011735,           0.0095191,           0.0095191,           0.0095191
                  19,            0.027165,            0.010574,             0.01299,             0.51107,             0.56667,             0.53358,             0.33772,            0.026349,           0.0050435,            0.010998,           0.0094909,           0.0094909,           0.0094909
                  20,            0.028548,            0.010717,            0.011717,             0.51236,             0.58333,             0.54448,             0.31769,            0.031619,           0.0054259,            0.010549,           0.0094626,           0.0094626,           0.0094626
                  21,            0.028559,            0.010568,            0.011813,             0.50827,             0.46667,             0.48485,             0.27984,             0.03162,           0.0056887,            0.010942,           0.0094343,           0.0094343,           0.0094343
                  22,            0.027694,            0.010827,            0.011485,             0.39149,             0.44167,             0.45315,             0.26736,            0.032731,           0.0060502,            0.011863,            0.009406,            0.009406,            0.009406
